130121,Blanco 2 puntas delgado
130122,Blanco 2 puntas delgado1
130123,Blanco 2 puntas delgado2
130131,Blanco 2 puntas medio
130132,Blanco 2 puntas medio1
130133,Blanco 2 puntas medio2
130141,Blanco 2 puntas grueso
130142,Blanco 2 puntas grueso1
130143,Blanco 2 puntas grueso2
130151,Blanco 2 puntas jumbo
131000,Blanco 2 corto
131011,Blanco 2 corto Sopa
131021,Blanco 2 corto delgado
131022,Blanco 2 corto delgado1
131023,Blanco 2 corto delgado2
131031,Blanco 2 corto medio
131032,Blanco 2 corto medio1
131033,Blanco 2 corto medio2
131041,Blanco 2 corto grueso
131042,Blanco 2 corto grueso1
131043,Blanco 2 corto grueso2
131051,Blanco 2 corto jumbo
132000,Blanco 2 medio
132011,Blanco 2 medio Sopa
132021,Blanco 2 medio delgado
132022,Blanco 2 medio delgado1
132023,Blanco 2 medio delgado2
132031,Blanco 2 medio medio
132032,Blanco 2 medio medio1
132033,Blanco 2 medio medio2
132041,Blanco 2 medio grueso
132042,Blanco 2 medio grueso1
132043,Blanco 2 medio grueso2
132051,Blanco 2 medio jumbo
133000,Blanco 2 largo
133011,Blanco 2 largo Sopa
133021,Blanco 2 largo delgado
133022,Blanco 2 largo delgado1
133023,Blanco 2 largo delgado2
133031,Blanco 2 largo medio
133032,Blanco 2 largo medio1
133033,Blanco 2 largo medio2
133041,Blanco 2 largo grueso
133042,Blanco 2 largo grueso1
133043,Blanco 2 largo grueso2
133051,Blanco 2 largo jumbo
190000,Special Blanco sort form
191000,Blanco club form
192000,Blanco ovalado
193000,Blanco torcido
194000,Blanco flower
195000,Blanco oxid/peeling spears
196000,Blanco hueco
197000,Dobles
198000,Blanco roto
199000,Blanco muy largo
199999,Descarte
200000,Vio
200011,Vio Sopa
200021,Vio delgado
200022,Vio delgado1
200023,Vio delgado2
200031,Vio medio
200032,Vio medio1
200033,Vio medio2
200041,Vio grueso
200042,Vio grueso1
200043,Vio grueso2
200051,Vio jumbo
200100,Vio puntas
200111,Vio puntas Sopa
200121,Vio puntas delgado
200122,Vio puntas delgado1
200123,Vio puntas delgado2
200131,Vio puntas medio
200132,Vio puntas medio1
200133,Vio puntas medio2
200141,Vio puntas grueso
200142,Vio puntas grueso1
200143,Vio puntas grueso2
200151,Vio puntas jumbo
201000,Vio corto
201011,Vio corto Sopa
201021,Vio corto delgado
201022,Vio corto delgado1
201023,Vio corto delgado2
201031,Vio corto medio
201032,Vio corto medio1
201033,Vio corto medio2
201041,Vio corto grueso
201042,Vio corto grueso1
201043,Vio corto grueso2
201051,Vio corto jumbo
202000,Vio medio
202011,Vio medio Sopa
202021,Vio medio delgado
202022,Vio medio delgado1
202023,Vio medio delgado2
202031,Vio medio medio
202032,Vio medio medio1
202033,Vio medio medio2
202041,Vio medio grueso
202042,Vio medio grueso1
202043,Vio medio grueso2
202051,Vio medio jumbo
203000,Vio largo
203011,Vio largo Sopa
203021,Vio largo delgado
203022,Vio largo delgado1
203023,Vio largo delgado2
203031,Vio largo medio
203032,Vio largo medio1
203033,Vio largo medio2
203041,Vio largo grueso
203042,Vio largo grueso1
203043,Vio largo grueso2
203051,Vio largo jumbo
210000,Vio extra
210011,Vio extra Sopa
210021,Vio extra delgado
210022,Vio extra delgado1
210023,Vio extra delgado2
210031,Vio extra medio
210032,Vio extra medio1
210033,Vio extra medio2
210041,Vio extra grueso
210042,Vio extra grueso1
210043,Vio extra grueso2
210051,Vio extra jumbo
210100,Vio E puntas
210111,Vio E puntas Sopa
210121,Vio E puntas delgado
210122,Vio E puntas delgado1
210123,Vio E puntas delgado2
210131,Vio E puntas medio
210132,Vio E puntas medio1
210133,Vio E puntas medio2
210141,Vio E puntas grueso
210142,Vio E puntas grueso1
210143,Vio E puntas grueso2
210151,Vio E puntas jumbo
211000,Vio E corto
211011,Vio E corto Sopa
211021,Vio E corto delgado
211022,Vio E corto delgado1
211023,Vio E corto delgado2
211031,Vio E corto medio
211032,Vio E corto medio1
211033,Vio E corto medio2
211041,Vio E corto grueso
211042,Vio E corto grueso1
211043,Vio E corto grueso2
211051,Vio E corto jumbo
212000,Vio E medio
212011,Vio E medio Sopa
212021,Vio E medio delgado
212022,Vio E medio delgado1
212023,Vio E medio delgado2
212031,Vio E medio medio
212032,Vio E medio medio1
212033,Vio E medio medio2
212041,Vio E medio grueso
212042,Vio E medio grueso1
212043,Vio E medio grueso2
212051,Vio E medio jumbo
213000,Vio E largo
213011,Vio E largo Sopa
213021,Vio E largo delgado
213022,Vio E largo delgado1
213023,Vio E largo delgado2
213031,Vio E largo medio
213032,Vio E largo medio1
213033,Vio E largo medio2
213041,Vio E largo grueso
213042,Vio E largo grueso1
213043,Vio E largo grueso2
213051,Vio E largo jumbo
220000,Vio 1
220011,Vio 1 Sopa
220021,Vio 1 delgado
220022,Vio 1 delgado1
220023,Vio 1 delgado2
220031,Vio 1 medio
220032,Vio 1 medio1
220033,Vio 1 medio2
220041,Vio 1 grueso
220042,Vio 1 grueso1
220043,Vio 1 grueso2
220051,Vio 1 jumbo
220100,Vio 1 puntas
220111,Vio 1 puntas Sopa
220121,Vio 1 puntas delgado
220122,Vio 1 puntas delgado1
220123,Vio 1 puntas delgado2
220131,Vio 1 puntas medio
220132,Vio 1 puntas medio1
220133,Vio 1 puntas medio2
220141,Vio 1 puntas grueso
220142,Vio 1 puntas grueso1
220143,Vio 1 puntas grueso2
220151,Vio 1 puntas jumbo
221000,Vio 1 corto
221011,Vio 1 corto Sopa
221021,Vio 1 corto delgado
221022,Vio 1 corto delgado1
221023,Vio 1 corto delgado2
221031,Vio 1 corto medio
221032,Vio 1 corto medio1
221033,Vio 1 corto medio2
221041,Vio 1 corto grueso
221042,Vio 1 corto grueso1
221043,Vio 1 corto grueso2
221051,Vio 1 corto jumbo
222000,Vio 1 medio
222011,Vio 1 medio Sopa
